No. of grids:
Spatial length:
Time interval:
Total time:
K0 factor:
X0:
Sigma:
W:
V0:
X0_V:
FREQ:
### Initial wavefunction:

x    Re[psi]   Imag[psi]:

   0.00000   0.00000   0.00000

   0.25000   0.00000   0.00000

   0.50000   0.00000   0.00000

   0.75000  -0.00000   0.00000

   1.00000  -0.00001   0.00000

   1.25000  -0.00001  -0.00001

   1.50000  -0.00000  -0.00002

   1.75000   0.00001  -0.00002

   2.00000   0.00003  -0.00001

   2.25000   0.00005   0.00002

   2.50000   0.00003   0.00007

   2.75000  -0.00004   0.00010

   3.00000  -0.00013   0.00006

   3.25000  -0.00019  -0.00006

   3.50000  -0.00013  -0.00025

   3.75000   0.00010  -0.00037

   4.00000   0.00044  -0.00028

   4.25000   0.00069   0.00013

   4.50000   0.00056   0.00076

   4.75000  -0.00014   0.00126

   5.00000  -0.00127   0.00109

   5.25000  -0.00220  -0.00009

   5.50000  -0.00202  -0.00205

   5.75000  -0.00011  -0.00374

   6.00000   0.00318  -0.00362

   6.25000   0.00613  -0.00061

   6.50000   0.00623   0.00474

   6.75000   0.00168   0.00974

   7.00000  -0.00679   0.01036

   7.25000  -0.01497   0.00368

   7.50000  -0.01664  -0.00928

   7.75000  -0.00718  -0.02226

   8.00000   0.01209  -0.02581

   8.25000   0.03201  -0.01289

   8.50000   0.03871   0.01489

   8.75000   0.02169   0.04450

   9.00000  -0.01715   0.05613

   9.25000  -0.05981   0.03459

   9.50000  -0.07873  -0.01807

   9.75000  -0.05258  -0.07766

  10.00000   0.01668  -0.10684

  10.25000   0.09736  -0.07649

  10.50000   0.14029   0.01182

  10.75000   0.10681   0.11775

  11.00000  -0.00237   0.17827

  11.25000  -0.13725   0.14346

  11.50000  -0.21922   0.01262

  11.75000  -0.18561  -0.15397

  12.00000  -0.03366  -0.26087

  12.25000   0.16593  -0.23159

  12.50000   0.30039  -0.06061

  12.75000   0.27892   0.17135

  13.00000   0.09259   0.33468

  13.25000  -0.16896   0.32446

  13.50000  -0.36071   0.12788

  13.75000  -0.36476  -0.15823

  14.00000  -0.16408  -0.37598

  14.25000   0.13958  -0.39647

  14.50000   0.37890  -0.19837

  14.75000   0.41677   0.11431

  15.00000   0.22781   0.36900

  15.25000  -0.08455   0.42381

  15.50000  -0.34711   0.24985

  15.75000  -0.41698  -0.05287

  16.00000  -0.26260  -0.31516

  16.25000   0.02198  -0.39700

  16.50000   0.27595  -0.26517

  16.75000   0.36577  -0.00566

  17.00000   0.25771   0.23274

  17.25000   0.02821   0.32613

  17.50000  -0.18879   0.24139

  17.75000  -0.28139   0.04457

  18.00000  -0.21813  -0.14698

  18.25000  -0.05448  -0.23493

  18.50000   0.10951  -0.19032

  18.75000   0.18976  -0.05842

  19.00000   0.16043   0.07776

  19.25000   0.05741   0.14825

  19.50000  -0.05229   0.13072

  19.75000  -0.11201   0.05277

  20.00000  -0.10299  -0.03296

  20.25000  -0.04587  -0.08180

  20.50000   0.01912  -0.07848

  20.75000   0.05772  -0.03797

  21.00000   0.05786   0.00982

  21.25000   0.03007   0.03933

  21.50000  -0.00403   0.04128

  21.75000  -0.02586   0.02284

  22.00000  -0.02849  -0.00076

  22.25000  -0.01668  -0.01639

  22.50000  -0.00084  -0.01904

  22.75000   0.01000  -0.01173

  23.00000   0.01231  -0.00142

  23.25000   0.00796   0.00586

  23.50000   0.00145   0.00770

  23.75000  -0.00330   0.00521

  24.00000  -0.00466   0.00122

  24.25000  -0.00329  -0.00177

  24.50000  -0.00093  -0.00273

  24.75000   0.00090  -0.00201

  25.00000   0.00155  -0.00065

  25.25000   0.00119   0.00044

  25.50000   0.00043   0.00085

  25.75000  -0.00020   0.00068

  26.00000  -0.00045   0.00027

  26.25000  -0.00037  -0.00008

  26.50000  -0.00016  -0.00023

  26.75000   0.00003  -0.00020

  27.00000   0.00011  -0.00009

  27.25000   0.00010   0.00001

  27.50000   0.00005   0.00005

  27.75000   0.00000   0.00005

  28.00000  -0.00002   0.00003

  28.25000  -0.00003   0.00000

  28.50000  -0.00001  -0.00001

  28.75000  -0.00000  -0.00001

  29.00000   0.00000  -0.00001

  29.25000   0.00001  -0.00000

  29.50000   0.00000   0.00000

  29.75000   0.00000   0.00000

  30.00000  -0.00000   0.00000

  30.25000  -0.00000   0.00000

  30.50000  -0.00000  -0.00000

  30.75000  -0.00000  -0.00000

  31.00000   0.00000  -0.00000

  31.25000   0.00000  -0.00000

  31.50000   0.00000   0.00000

  31.75000   0.00000   0.00000

  32.00000  -0.00000   0.00000

  32.25000  -0.00000   0.00000

  32.50000  -0.00000  -0.00000

  32.75000  -0.00000  -0.00000

  33.00000   0.00000  -0.00000

  33.25000   0.00000  -0.00000

  33.50000   0.00000  -0.00000

  33.75000   0.00000   0.00000

  34.00000   0.00000   0.00000

  34.25000  -0.00000   0.00000

  34.50000  -0.00000   0.00000

  34.75000  -0.00000  -0.00000

  35.00000  -0.00000  -0.00000

  35.25000   0.00000  -0.00000

  35.50000   0.00000  -0.00000

  35.75000   0.00000   0.00000

  36.00000   0.00000   0.00000

  36.25000  -0.00000   0.00000

  36.50000  -0.00000   0.00000

  36.75000  -0.00000  -0.00000

  37.00000  -0.00000  -0.00000

  37.25000   0.00000  -0.00000

  37.50000   0.00000  -0.00000

  37.75000   0.00000   0.00000

  38.00000   0.00000   0.00000

  38.25000  -0.00000   0.00000

  38.50000  -0.00000   0.00000

  38.75000  -0.00000  -0.00000

  39.00000  -0.00000  -0.00000

  39.25000  -0.00000  -0.00000

  39.50000   0.00000  -0.00000

  39.75000   0.00000  -0.00000

  40.00000   0.00000   0.00000

  40.25000   0.00000   0.00000

  40.50000  -0.00000   0.00000

  40.75000  -0.00000   0.00000

  41.00000  -0.00000  -0.00000

  41.25000  -0.00000  -0.00000

  41.50000   0.00000  -0.00000

  41.75000   0.00000  -0.00000

  42.00000   0.00000   0.00000

  42.25000   0.00000   0.00000

  42.50000  -0.00000   0.00000

  42.75000  -0.00000   0.00000

  43.00000  -0.00000  -0.00000

  43.25000  -0.00000  -0.00000

  43.50000   0.00000  -0.00000

  43.75000   0.00000  -0.00000

  44.00000   0.00000   0.00000

  44.25000   0.00000   0.00000

  44.50000   0.00000   0.00000

  44.75000  -0.00000   0.00000

  45.00000  -0.00000   0.00000

  45.25000  -0.00000  -0.00000

  45.50000  -0.00000  -0.00000

  45.75000   0.00000  -0.00000

  46.00000   0.00000  -0.00000

  46.25000   0.00000   0.00000

  46.50000   0.00000   0.00000

  46.75000  -0.00000   0.00000

  47.00000  -0.00000   0.00000

  47.25000  -0.00000  -0.00000

  47.50000  -0.00000  -0.00000

  47.75000   0.00000  -0.00000

  48.00000   0.00000  -0.00000

  48.25000   0.00000   0.00000

  48.50000   0.00000   0.00000

  48.75000  -0.00000   0.00000

  49.00000  -0.00000   0.00000

  49.25000  -0.00000  -0.00000

  49.50000  -0.00000  -0.00000

  49.75000   0.00000  -0.00000

  50.00000   0.00000   0.00000

x    probability density:

   0.00000   0.00000

   0.25000   0.00000

   0.50000   0.00000

   0.75000   0.00000

   1.00000   0.00000

   1.25000   0.00000

   1.50000   0.00000

   1.75000   0.00000

   2.00000   0.00000

   2.25000   0.00000

   2.50000   0.00000

   2.75000   0.00000

   3.00000   0.00000

   3.25000   0.00000

   3.50000   0.00000

   3.75000   0.00000

   4.00000   0.00000

   4.25000   0.00000

   4.50000   0.00000

   4.75000   0.00000

   5.00000   0.00000

   5.25000   0.00000

   5.50000   0.00001

   5.75000   0.00001

   6.00000   0.00002

   6.25000   0.00004

   6.50000   0.00006

   6.75000   0.00010

   7.00000   0.00015

   7.25000   0.00024

   7.50000   0.00036

   7.75000   0.00055

   8.00000   0.00081

   8.25000   0.00119

   8.50000   0.00172

   8.75000   0.00245

   9.00000   0.00344

   9.25000   0.00477

   9.50000   0.00653

   9.75000   0.00880

  10.00000   0.01169

  10.25000   0.01533

  10.50000   0.01982

  10.75000   0.02528

  11.00000   0.03179

  11.25000   0.03942

  11.50000   0.04821

  11.75000   0.05816

  12.00000   0.06918

  12.25000   0.08117

  12.50000   0.09391

  12.75000   0.10716

  13.00000   0.12058

  13.25000   0.13382

  13.50000   0.14646

  13.75000   0.15809

  14.00000   0.16829

  14.25000   0.17667

  14.50000   0.18291

  14.75000   0.18676

  15.00000   0.18806

  15.25000   0.18676

  15.50000   0.18291

  15.75000   0.17667

  16.00000   0.16829

  16.25000   0.15809

  16.50000   0.14646

  16.75000   0.13382

  17.00000   0.12058

  17.25000   0.10716

  17.50000   0.09391

  17.75000   0.08117

  18.00000   0.06918

  18.25000   0.05816

  18.50000   0.04821

  18.75000   0.03942

  19.00000   0.03179

  19.25000   0.02528

  19.50000   0.01982

  19.75000   0.01533

  20.00000   0.01169

  20.25000   0.00880

  20.50000   0.00653

  20.75000   0.00477

  21.00000   0.00344

  21.25000   0.00245

  21.50000   0.00172

  21.75000   0.00119

  22.00000   0.00081

  22.25000   0.00055

  22.50000   0.00036

  22.75000   0.00024

  23.00000   0.00015

  23.25000   0.00010

  23.50000   0.00006

  23.75000   0.00004

  24.00000   0.00002

  24.25000   0.00001

  24.50000   0.00001

  24.75000   0.00000

  25.00000   0.00000

  25.25000   0.00000

  25.50000   0.00000

  25.75000   0.00000

  26.00000   0.00000

  26.25000   0.00000

  26.50000   0.00000

  26.75000   0.00000

  27.00000   0.00000

  27.25000   0.00000

  27.50000   0.00000

  27.75000   0.00000

  28.00000   0.00000

  28.25000   0.00000

  28.50000   0.00000

  28.75000   0.00000

  29.00000   0.00000

  29.25000   0.00000

  29.50000   0.00000

  29.75000   0.00000

  30.00000   0.00000

  30.25000   0.00000

  30.50000   0.00000

  30.75000   0.00000

  31.00000   0.00000

  31.25000   0.00000

  31.50000   0.00000

  31.75000   0.00000

  32.00000   0.00000

  32.25000   0.00000

  32.50000   0.00000

  32.75000   0.00000

  33.00000   0.00000

  33.25000   0.00000

  33.50000   0.00000

  33.75000   0.00000

  34.00000   0.00000

  34.25000   0.00000

  34.50000   0.00000

  34.75000   0.00000

  35.00000   0.00000

  35.25000   0.00000

  35.50000   0.00000

  35.75000   0.00000

  36.00000   0.00000

  36.25000   0.00000

  36.50000   0.00000

  36.75000   0.00000

  37.00000   0.00000

  37.25000   0.00000

  37.50000   0.00000

  37.75000   0.00000

  38.00000   0.00000

  38.25000   0.00000

  38.50000   0.00000

  38.75000   0.00000

  39.00000   0.00000

  39.25000   0.00000

  39.50000   0.00000

  39.75000   0.00000

  40.00000   0.00000

  40.25000   0.00000

  40.50000   0.00000

  40.75000   0.00000

  41.00000   0.00000

  41.25000   0.00000

  41.50000   0.00000

  41.75000   0.00000

  42.00000   0.00000

